Id,Nome,Email,Telefone,Cidade,Estado,DataCadastro,Status
73,Cliente 73,cliente73@email.com,(11) 90073-6836,São Paulo,SP,2024-01-13,Ativo
74,Cliente 74,cliente74@email.com,(11) 90074-5629,São Paulo,SP,2024-11-09,Ativo
75,Cliente 75,cliente75@email.com,(11) 90075-5762,São Paulo,SP,2024-11-22,Ativo
76,Cliente 76,cliente76@email.com,(11) 90076-6746,São Paulo,SP,2024-04-11,Ativo
77,Cliente 77,cliente77@email.com,(11) 90077-8946,São Paulo,SP,2024-05-08,Ativo
78,Cliente 78,cliente78@email.com,(11) 90078-6685,São Paulo,SP,2024-05-10,Ativo
79,Cliente 79,cliente79@email.com,(11) 90079-1601,São Paulo,SP,2024-03-24,Ativo
80,Cliente 80,cliente80@email.com,(11) 90080-8098,São Paulo,SP,2024-02-03,Ativo
81,Cliente 81,cliente81@email.com,(11) 90081-8394,São Paulo,SP,2024-07-05,Ativo
82,Cliente 82,cliente82@email.com,(11) 90082-9520,São Paulo,SP,2024-09-20,Ativo
83,Cliente 83,cliente83@email.com,(11) 90083-6116,São Paulo,SP,2024-04-15,Ativo
84,Cliente 84,cliente84@email.com,(11) 90084-7909,São Paulo,SP,2024-07-10,Ativo
85,Cliente 85,cliente85@email.com,(11) 90085-5354,São Paulo,SP,2024-06-11,Ativo
86,Cliente 86,cliente86@email.com,(11) 90086-4935,São Paulo,SP,2024-11-02,Ativo
87,Cliente 87,cliente87@email.com,(11) 90087-4986,São Paulo,SP,2024-05-02,Ativo
88,Cliente 88,cliente88@email.com,(11) 90088-6715,São Paulo,SP,2024-09-23,Ativo
89,Cliente 89,cliente89@email.com,(11) 90089-5571,São Paulo,SP,2024-04-27,Ativo
90,Cliente 90,cliente90@email.com,(11) 90090-5052,São Paulo,SP,2024-05-13,Ativo
91,Cliente 91,cliente91@email.com,(11) 90091-1805,São Paulo,SP,2024-10-09,Ativo
92,Cliente 92,cliente92@email.com,(11) 90092-8429,São Paulo,SP,2024-07-15,Ativo
93,Cliente 93,cliente93@email.com,(11) 90093-2826,São Paulo,SP,2024-06-27,Ativo
94,Cliente 94,cliente94@email.com,(11) 90094-7347,São Paulo,SP,2024-06-15,Ativo
95,Cliente 95,cliente95@email.com,(11) 90095-6405,São Paulo,SP,2024-07-12,Ativo
96,Cliente 96,cliente96@email.com,(11) 90096-4462,São Paulo,SP,2024-01-15,Ativo
97,Cliente 97,cliente97@email.com,(11) 90097-9876,São Paulo,SP,2024-02-06,Ativo
98,Cliente 98,cliente98@email.com,(11) 90098-1508,São Paulo,SP,2024-01-04,Ativo
99,Cliente 99,cliente99@email.com,(11) 90099-8413,São Paulo,SP,2024-05-26,Ativo
100,Cliente 100,cliente100@email.com,(11) 90100-9221,São Paulo,SP,2024-05-21,Ativo
101,Cliente 101,cliente101@email.com,(11) 90101-8305,São Paulo,SP,2024-01-10,Ativo
102,Cliente 102,cliente102@email.com,(11) 90102-6148,São Paulo,SP,2024-09-18,Ativo
103,Cliente 103,cliente103@email.com,(11) 90103-8713,São Paulo,SP,2024-08-10,Ativo
104,Cliente 104,cliente104@email.com,(11) 90104-1921,São Paulo,SP,2024-10-03,Ativo
105,Cliente 105,cliente105@email.com,(11) 90105-1262,São Paulo,SP,2024-01-15,Ativo
106,Cliente 106,cliente106@email.com,(11) 90106-3207,São Paulo,SP,2024-10-08,Ativo
107,Cliente 107,cliente107@email.com,(11) 90107-8430,São Paulo,SP,2024-06-20,Ativo
108,Cliente 108,cliente108@email.com,(11) 90108-4527,São Paulo,SP,2024-01-11,Ativo
109,Cliente 109,cliente109@email.com,(11) 90109-6398,São Paulo,SP,2024-04-15,Ativo
110,Cliente 110,cliente110@email.com,(11) 90110-2079,São Paulo,SP,2024-08-23,Ativo
111,Cliente 111,cliente111@email.com,(11) 90111-5058,São Paulo,SP,2024-07-22,Ativo
112,Cliente 112,cliente112@email.com,(11) 90112-4435,São Paulo,SP,2024-09-01,Ativo
113,Cliente 113,cliente113@email.com,(11) 90113-2700,São Paulo,SP,2024-10-23,Ativo
114,Cliente 114,cliente114@email.com,(11) 90114-5771,São Paulo,SP,2024-01-19,Ativo
115,Cliente 115,cliente115@email.com,(11) 90115-7410,São Paulo,SP,2024-02-09,Ativo
116,Cliente 116,cliente116@email.com,(11) 90116-7658,São Paulo,SP,2024-03-01,Ativo
117,Cliente 117,cliente117@email.com,(11) 90117-4801,São Paulo,SP,2024-10-13,Ativo
118,Cliente 118,cliente118@email.com,(11) 90118-8381,São Paulo,SP,2024-08-01,Ativo
119,Cliente 119,cliente119@email.com,(11) 90119-9053,São Paulo,SP,2024-04-25,Ativo
120,Cliente 120,cliente120@email.com,(11) 90120-6923,São Paulo,SP,2024-07-22,Ativo
121,Cliente 121,cliente121@email.com,(11) 90121-9542,São Paulo,SP,2024-06-20,Ativo
122,Cliente 122,cliente122@email.com,(11) 90122-4236,São Paulo,SP,2024-03-02,Ativo
123,Cliente 123,cliente123@email.com,(11) 90123-1184,São Paulo,SP,2024-02-04,Ativo
124,Cliente 124,cliente124@email.com,(11) 90124-1424,São Paulo,SP,2024-06-18,Ativo
125,Cliente 125,cliente125@email.com,(11) 90125-2994,São Paulo,SP,2024-06-04,Ativo
126,Cliente 126,cliente126@email.com,(11) 90126-5085,São Paulo,SP,2024-11-15,Ativo
127,Cliente 127,cliente127@email.com,(11) 90127-3884,São Paulo,SP,2024-08-08,Ativo
128,Cliente 128,cliente128@email.com,(11) 90128-1070,São Paulo,SP,2024-07-05,Ativo
129,Cliente 129,cliente129@email.com,(11) 90129-7288,São Paulo,SP,2024-07-16,Ativo
130,Cliente 130,cliente130@email.com,(11) 90130-1273,São Paulo,SP,2024-08-13,Ativo
131,Cliente 131,cliente131@email.com,(11) 90131-6743,São Paulo,SP,2024-11-17,Ativo
132,Cliente 132,cliente132@email.com,(11) 90132-1615,São Paulo,SP,2024-05-04,Ativo
133,Cliente 133,cliente133@email.com,(11) 90133-4546,São Paulo,SP,2024-02-07,Ativo
134,Cliente 134,cliente134@email.com,(11) 90134-4108,São Paulo,SP,2024-07-23,Ativo
135,Cliente 135,cliente135@email.com,(11) 90135-9172,São Paulo,SP,2024-07-09,Ativo
136,Cliente 136,cliente136@email.com,(11) 90136-4005,São Paulo,SP,2024-08-02,Ativo
137,Cliente 137,cliente137@email.com,(11) 90137-3349,São Paulo,SP,2024-08-08,Ativo
138,Cliente 138,cliente138@email.com,(11) 90138-8805,São Paulo,SP,2024-10-13,Ativo
139,Cliente 139,cliente139@email.com,(11) 90139-8983,São Paulo,SP,2024-03-25,Ativo
140,Cliente 140,cliente140@email.com,(11) 90140-9297,São Paulo,SP,2024-09-24,Ativo
141,Cliente 141,cliente141@email.com,(11) 90141-7873,São Paulo,SP,2024-07-07,Ativo
142,Cliente 142,cliente142@email.com,(11) 90142-5185,São Paulo,SP,2024-05-12,Ativo
143,Cliente 143,cliente143@email.com,(11) 90143-3587,São Paulo,SP,2024-02-21,Ativo
144,Cliente 144,cliente144@email.com,(11) 90144-6537,São Paulo,SP,2024-04-18,Ativo
145,Cliente 145,cliente145@email.com,(11) 90145-1076,São Paulo,SP,2024-01-14,Ativo
146,Cliente 146,cliente146@email.com,(11) 90146-8771,São Paulo,SP,2024-06-02,Ativo
147,Cliente 147,cliente147@email.com,(11) 90147-1367,São Paulo,SP,2024-11-04,Ativo
148,Cliente 148,cliente148@email.com,(11) 90148-2140,São Paulo,SP,2024-04-25,Ativo
149,Cliente 149,cliente149@email.com,(11) 90149-3036,São Paulo,SP,2024-03-13,Ativo
150,Cliente 150,cliente150@email.com,(11) 90150-6230,São Paulo,SP,2024-10-14,Ativo
151,Cliente 151,cliente151@email.com,(11) 90151-5306,São Paulo,SP,2024-09-27,Ativo
152,Cliente 152,cliente152@email.com,(11) 90152-2491,São Paulo,SP,2024-01-20,Ativo
153,Cliente 153,cliente153@email.com,(11) 90153-9179,São Paulo,SP,2024-10-26,Ativo
154,Cliente 154,cliente154@email.com,(11) 90154-6174,São Paulo,SP,2024-10-26,Ativo
155,Cliente 155,cliente155@email.com,(11) 90155-5322,São Paulo,SP,2024-04-16,Ativo
156,Cliente 156,cliente156@email.com,(11) 90156-6986,São Paulo,SP,2024-03-17,Ativo
157,Cliente 157,cliente157@email.com,(11) 90157-2895,São Paulo,SP,2024-10-17,Ativo
158,Cliente 158,cliente158@email.com,(11) 90158-4677,São Paulo,SP,2024-02-07,Ativo
159,Cliente 159,cliente159@email.com,(11) 90159-3746,São Paulo,SP,2024-05-10,Ativo
160,Cliente 160,cliente160@email.com,(11) 90160-9148,São Paulo,SP,2024-05-16,Ativo
161,Cliente 161,cliente161@email.com,(11) 90161-1089,São Paulo,SP,2024-05-08,Ativo
162,Cliente 162,cliente162@email.com,(11) 90162-9067,São Paulo,SP,2024-02-18,Ativo
163,Cliente 163,cliente163@email.com,(11) 90163-3736,São Paulo,SP,2024-11-05,Ativo
164,Cliente 164,cliente164@email.com,(11) 90164-4573,São Paulo,SP,2024-09-12,Ativo
165,Cliente 165,cliente165@email.com,(11) 90165-7636,São Paulo,SP,2024-03-11,Ativo
166,Cliente 166,cliente166@email.com,(11) 90166-7497,São Paulo,SP,2024-11-14,Ativo
167,Cliente 167,cliente167@email.com,(11) 90167-6023,São Paulo,SP,2024-01-07,Ativo
168,Cliente 168,cliente168@email.com,(11) 90168-1837,São Paulo,SP,2024-01-16,Ativo
169,Cliente 169,cliente169@email.com,(11) 90169-3858,São Paulo,SP,2024-03-02,Ativo
170,Cliente 170,cliente170@email.com,(11) 90170-4834,São Paulo,SP,2024-10-15,Ativo
171,Cliente 171,cliente171@email.com,(11) 90171-6361,São Paulo,SP,2024-08-18,Ativo
172,Cliente 172,cliente172@email.com,(11) 90172-7006,São Paulo,SP,2024-09-27,Ativo
173,Cliente 173,cliente173@email.com,(11) 90173-9710,São Paulo,SP,2024-10-07,Ativo
174,Cliente 174,cliente174@email.com,(11) 90174-9295,São Paulo,SP,2024-01-19,Ativo
175,Cliente 175,cliente175@email.com,(11) 90175-1650,São Paulo,SP,2024-01-27,Ativo
176,Cliente 176,cliente176@email.com,(11) 90176-5698,São Paulo,SP,2024-08-13,Ativo
177,Cliente 177,cliente177@email.com,(11) 90177-8770,São Paulo,SP,2024-04-23,Ativo
178,Cliente 178,cliente178@email.com,(11) 90178-2810,São Paulo,SP,2024-03-02,Ativo
179,Cliente 179,cliente179@email.com,(11) 90179-9812,São Paulo,SP,2024-09-12,Ativo
180,Cliente 180,cliente180@email.com,(11) 90180-5648,São Paulo,SP,2024-07-19,Ativo
181,Cliente 181,cliente181@email.com,(11) 90181-7446,São Paulo,SP,2024-08-27,Ativo
182,Cliente 182,cliente182@email.com,(11) 90182-8579,São Paulo,SP,2024-11-18,Ativo
183,Cliente 183,cliente183@email.com,(11) 90183-3555,São Paulo,SP,2024-08-07,Ativo
184,Cliente 184,cliente184@email.com,(11) 90184-9811,São Paulo,SP,2024-10-26,Ativo
185,Cliente 185,cliente185@email.com,(11) 90185-9454,São Paulo,SP,2024-11-09,Ativo
186,Cliente 186,cliente186@email.com,(11) 90186-3529,São Paulo,SP,2024-02-03,Ativo
187,Cliente 187,cliente187@email.com,(11) 90187-1097,São Paulo,SP,2024-09-15,Ativo
188,Cliente 188,cliente188@email.com,(11) 90188-3493,São Paulo,SP,2024-11-19,Ativo
189,Cliente 189,cliente189@email.com,(11) 90189-6044,São Paulo,SP,2024-06-26,Ativo
190,Cliente 190,cliente190@email.com,(11) 90190-4463,São Paulo,SP,2024-03-03,Ativo
191,Cliente 191,cliente191@email.com,(11) 90191-7691,São Paulo,SP,2024-07-19,Ativo
192,Cliente 192,cliente192@email.com,(11) 90192-6376,São Paulo,SP,2024-01-04,Ativo
193,Cliente 193,cliente193@email.com,(11) 90193-2050,São Paulo,SP,2024-05-12,Ativo
194,Cliente 194,cliente194@email.com,(11) 90194-4453,São Paulo,SP,2024-03-19,Ativo
195,Cliente 195,cliente195@email.com,(11) 90195-9890,São Paulo,SP,2024-09-10,Ativo
196,Cliente 196,cliente196@email.com,(11) 90196-4352,São Paulo,SP,2024-06-08,Ativo
197,Cliente 197,cliente197@email.com,(11) 90197-1493,São Paulo,SP,2024-10-13,Ativo
198,Cliente 198,cliente198@email.com,(11) 90198-4488,São Paulo,SP,2024-09-24,Ativo
199,Cliente 199,cliente199@email.com,(11) 90199-6282,São Paulo,SP,2024-09-09,Ativo
200,Cliente 200,cliente200@email.com,(11) 90200-1563,São Paulo,SP,2024-05-04,Ativo
201,Cliente 201,cliente201@email.com,(11) 90201-3588,São Paulo,SP,2024-03-08,Ativo
202,Cliente 202,cliente202@email.com,(11) 90202-7288,São Paulo,SP,2024-05-17,Ativo
203,Cliente 203,cliente203@email.com,(11) 90203-1087,São Paulo,SP,2024-05-27,Ativo
204,Cliente 204,cliente204@email.com,(11) 90204-2128,São Paulo,SP,2024-10-09,Ativo
205,Cliente 205,cliente205@email.com,(11) 90205-4228,São Paulo,SP,2024-05-11,Ativo
206,Cliente 206,cliente206@email.com,(11) 90206-6319,São Paulo,SP,2024-06-21,Ativo
207,Cliente 207,cliente207@email.com,(11) 90207-4015,São Paulo,SP,2024-02-20,Ativo
208,Cliente 208,cliente208@email.com,(11) 90208-2206,São Paulo,SP,2024-03-14,Ativo
209,Cliente 209,cliente209@email.com,(11) 90209-2757,São Paulo,SP,2024-04-09,Ativo
210,Cliente 210,cliente210@email.com,(11) 90210-1189,São Paulo,SP,2024-08-01,Ativo
211,Cliente 211,cliente211@email.com,(11) 90211-3152,São Paulo,SP,2024-04-03,Ativo
212,Cliente 212,cliente212@email.com,(11) 90212-1885,São Paulo,SP,2024-04-07,Ativo
213,Cliente 213,cliente213@email.com,(11) 90213-5818,São Paulo,SP,2024-06-18,Ativo
214,Cliente 214,cliente214@email.com,(11) 90214-8962,São Paulo,SP,2024-10-19,Ativo
215,Cliente 215,cliente215@email.com,(11) 90215-6841,São Paulo,SP,2024-10-24,Ativo
216,Cliente 216,cliente216@email.com,(11) 90216-6163,São Paulo,SP,2024-04-20,Ativo
217,Cliente 217,cliente217@email.com,(11) 90217-9404,São Paulo,SP,2024-01-06,Ativo
218,Cliente 218,cliente218@email.com,(11) 90218-3867,São Paulo,SP,2024-02-17,Ativo
219,Cliente 219,cliente219@email.com,(11) 90219-4942,São Paulo,SP,2024-11-01,Ativo
220,Cliente 220,cliente220@email.com,(11) 90220-4460,São Paulo,SP,2024-04-19,Ativo
221,Cliente 221,cliente221@email.com,(11) 90221-4345,São Paulo,SP,2024-02-24,Ativo
222,Cliente 222,cliente222@email.com,(11) 90222-4202,São Paulo,SP,2024-02-06,Ativo
223,Cliente 223,cliente223@email.com,(11) 90223-9370,São Paulo,SP,2024-04-21,Ativo
224,Cliente 224,cliente224@email.com,(11) 90224-3216,São Paulo,SP,2024-08-15,Ativo
225,Cliente 225,cliente225@email.com,(11) 90225-4194,São Paulo,SP,2024-10-03,Ativo
226,Cliente 226,cliente226@email.com,(11) 90226-7103,São Paulo,SP,2024-07-01,Ativo
227,Cliente 227,cliente227@email.com,(11) 90227-3446,São Paulo,SP,2024-06-21,Ativo
228,Cliente 228,cliente228@email.com,(11) 90228-9019,São Paulo,SP,2024-02-05,Ativo
229,Cliente 229,cliente229@email.com,(11) 90229-9601,São Paulo,SP,2024-03-25,Ativo
230,Cliente 230,cliente230@email.com,(11) 90230-9571,São Paulo,SP,2024-04-06,Ativo
231,Cliente 231,cliente231@email.com,(11) 90231-2566,São Paulo,SP,2024-06-07,Ativo
232,Cliente 232,cliente232@email.com,(11) 90232-9758,São Paulo,SP,2024-08-20,Ativo
233,Cliente 233,cliente233@email.com,(11) 90233-5461,São Paulo,SP,2024-11-09,Ativo
234,Cliente 234,cliente234@email.com,(11) 90234-4988,São Paulo,SP,2024-01-27,Ativo
235,Cliente 235,cliente235@email.com,(11) 90235-6435,São Paulo,SP,2024-04-27,Ativo
236,Cliente 236,cliente236@email.com,(11) 90236-3959,São Paulo,SP,2024-02-16,Ativo
237,Cliente 237,cliente237@email.com,(11) 90237-3015,São Paulo,SP,2024-06-07,Ativo
238,Cliente 238,cliente238@email.com,(11) 90238-9182,São Paulo,SP,2024-02-12,Ativo
239,Cliente 239,cliente239@email.com,(11) 90239-5205,São Paulo,SP,2024-02-03,Ativo
240,Cliente 240,cliente240@email.com,(11) 90240-5482,São Paulo,SP,2024-07-09,Ativo
241,Cliente 241,cliente241@email.com,(11) 90241-4757,São Paulo,SP,2024-05-03,Ativo
242,Cliente 242,cliente242@email.com,(11) 90242-8560,São Paulo,SP,2024-04-23,Ativo
243,Cliente 243,cliente243@email.com,(11) 90243-2432,São Paulo,SP,2024-05-20,Ativo
244,Cliente 244,cliente244@email.com,(11) 90244-2482,São Paulo,SP,2024-06-23,Ativo
245,Cliente 245,cliente245@email.com,(11) 90245-5597,São Paulo,SP,2024-01-03,Ativo
246,Cliente 246,cliente246@email.com,(11) 90246-4840,São Paulo,SP,2024-03-20,Ativo
247,Cliente 247,cliente247@email.com,(11) 90247-2293,São Paulo,SP,2024-03-13,Ativo
248,Cliente 248,cliente248@email.com,(11) 90248-3930,São Paulo,SP,2024-05-07,Ativo
249,Cliente 249,cliente249@email.com,(11) 90249-7298,São Paulo,SP,2024-01-13,Ativo
250,Cliente 250,cliente250@email.com,(11) 90250-1714,São Paulo,SP,2024-10-10,Ativo
251,Cliente 251,cliente251@email.com,(11) 90251-1541,São Paulo,SP,2024-01-14,Ativo
252,Cliente 252,cliente252@email.com,(11) 90252-8318,São Paulo,SP,2024-06-25,Ativo
253,Cliente 253,cliente253@email.com,(11) 90253-6446,São Paulo,SP,2024-04-10,Ativo
254,Cliente 254,cliente254@email.com,(11) 90254-9929,São Paulo,SP,2024-02-06,Ativo
255,Cliente 255,cliente255@email.com,(11) 90255-9176,São Paulo,SP,2024-09-04,Ativo
256,Cliente 256,cliente256@email.com,(11) 90256-3556,São Paulo,SP,2024-03-23,Ativo
257,Cliente 257,cliente257@email.com,(11) 90257-9880,São Paulo,SP,2024-09-21,Ativo
258,Cliente 258,cliente258@email.com,(11) 90258-2631,São Paulo,SP,2024-09-17,Ativo
259,Cliente 259,cliente259@email.com,(11) 90259-6641,São Paulo,SP,2024-09-24,Ativo
260,Cliente 260,cliente260@email.com,(11) 90260-3466,São Paulo,SP,2024-05-08,Ativo
261,Cliente 261,cliente261@email.com,(11) 90261-4821,São Paulo,SP,2024-03-17,Ativo
262,Cliente 262,cliente262@email.com,(11) 90262-6049,São Paulo,SP,2024-02-10,Ativo
263,Cliente 263,cliente263@email.com,(11) 90263-6236,São Paulo,SP,2024-08-06,Ativo
264,Cliente 264,cliente264@email.com,(11) 90264-5259,São Paulo,SP,2024-06-15,Ativo
265,Cliente 265,cliente265@email.com,(11) 90265-8397,São Paulo,SP,2024-08-25,Ativo
266,Cliente 266,cliente266@email.com,(11) 90266-8865,São Paulo,SP,2024-02-24,Ativo
267,Cliente 267,cliente267@email.com,(11) 90267-5671,São Paulo,SP,2024-11-19,Ativo
268,Cliente 268,cliente268@email.com,(11) 90268-9782,São Paulo,SP,2024-05-17,Ativo
269,Cliente 269,cliente269@email.com,(11) 90269-2034,São Paulo,SP,2024-03-16,Ativo
270,Cliente 270,cliente270@email.com,(11) 90270-2642,São Paulo,SP,2024-06-12,Ativo
271,Cliente 271,cliente271@email.com,(11) 90271-4938,São Paulo,SP,2024-07-11,Ativo
272,Cliente 272,cliente272@email.com,(11) 90272-5410,São Paulo,SP,2024-07-17,Ativo
273,Cliente 273,cliente273@email.com,(11) 90273-7405,São Paulo,SP,2024-09-17,Ativo
274,Cliente 274,cliente274@email.com,(11) 90274-7007,São Paulo,SP,2024-03-20,Ativo
275,Cliente 275,cliente275@email.com,(11) 90275-6667,São Paulo,SP,2024-04-27,Ativo
276,Cliente 276,cliente276@email.com,(11) 90276-5874,São Paulo,SP,2024-06-11,Ativo
277,Cliente 277,cliente277@email.com,(11) 90277-7793,São Paulo,SP,2024-01-13,Ativo
278,Cliente 278,cliente278@email.com,(11) 90278-8597,São Paulo,SP,2024-05-05,Ativo
279,Cliente 279,cliente279@email.com,(11) 90279-3937,São Paulo,SP,2024-10-14,Ativo
280,Cliente 280,cliente280@email.com,(11) 90280-5982,São Paulo,SP,2024-03-25,Ativo
281,Cliente 281,cliente281@email.com,(11) 90281-8894,São Paulo,SP,2024-07-05,Ativo
282,Cliente 282,cliente282@email.com,(11) 90282-7412,São Paulo,SP,2024-11-23,Ativo
283,Cliente 283,cliente283@email.com,(11) 90283-7927,São Paulo,SP,2024-01-03,Ativo
284,Cliente 284,cliente284@email.com,(11) 90284-8323,São Paulo,SP,2024-06-20,Ativo
